text,label
"Draymond Green on Wembanyama: ""you get to a certain height where it becomes a disservice in this league, there's nothing he can do about being 7'5, but I'm not sure 7'5 suits you better than being 7'1 with his skill set, being 7'5 almost does him a disservice""",event_report
"This 10 year championship anniversary reunion will be a thing now, right?",hot_take
"Jimmy Butler to KAT: ""Soft as baby shit. You a loser. I already punked you once."" KAT: ""Call Rachel""",hot_take
"Mike Brown gets a hero's welcome (and a chorus of ""Who Let The Dogs Out?"") at a restaurant in NYC",event_report
"Luka Dončić on if he keeps in touch with Jalen Brunson: ""Yes, yes, of course. Before the last match, I said, you know? ‘Just one more.'""",event_report
"LeBron says he didn't know what a pantry was until high school: ""I went to my high school coach's house and I asked him, ‘Can I get a snack or some chips?' He was like, ‘Yeah, just go in the pantry.' I'm like, ‘What the f**k is the pantry?' Where I grew up, everything is on top of the refrigerator…",event_report
"Steven Adams Says Today's Bigs Are Not Good At ""Trench Work"" Like Boxing Out",hot_take
"Chuck watching Cardi B's halftime performance: ""I don't know if those are B's. They might be Cardi D's...She should change her name.""",hot_take
"NYC Mayor Zoharan Mamdani on X: ""We'll win this series on the court (even if the refs refuse to call a flagrant on Wemby), not by targeting, harassing, or attacking Spurs fans""",hot_take
"2024: Mike Brown on braindead Fox play: ""If you're up 3, you gotta guard your man at the 3. I need to go back and watch Fox. Should NOT be in position to help. Should be hugged up to your man. 100% told guys, can't give up a 3. Stay connected. I even drew an example."" (Brown was fired the next day)",hot_take
"Charles Barkley to OG Anunoby: ""What is your real name?"" .Anunoby answers: ""Ogugua"". Barkley tries to pronounce it correctly.",event_report
"Michelle Obama cooks ESPN: ""If I watch ESPN for an hour it's like watching The Real Housewives of Atlanta. It's the same drama, they're yelling at each other, they don't get along. Stephen A. Smith would be a great Real Housewife. What's the difference? It's just drama.""",event_report
"Chet Holmgren On Minneapolis: ""I definitely think we're too advanced as a species, just plain and simple, for things like that to be happening. No matter what your opinions are or what your beliefs are, you should be able to agree that nobody needs to be dying on the street.""",hot_take
"LeBron James on Memphis backlash: ""Did I say I don't like black people? I'm 41 years old and there's 2 cities I don't like playing in, Milwaukee & Memphis. I'm not talking about the people in Memphis. I just don't like staying at the Hyatt Centric, what's wrong with that? What are we talking about?""",event_report
The NBA should cancel this afternoon's Timberwolves v. Warriors game in Minneapolis,hot_take
"Max Kellerman on Lebron: ""It's called selling out. It's very easy to take a stand when there is low to no cost. When there is a real price to pay, then who will stand up? Mohammad Ali did. Not Lebron James""",event_report
Kareem Abdul-Jabbar: Where Is the Outrage Over Anti-Semitism in Sports and Hollywood?,hot_take
"Doc Rivers: ""I will say it, because I don't think a lot of people want to. Can you imagine today, if those were all black people storming the Capitol, and what would have happened? That, to me, is a picture that's worth a thousand words for all of us to see.""",event_report
"LaMelo Ball believes Victor Wembanyama legacy is ""stained"" for losing in the Finals against the New York Knicks, Lonzo Ball disagrees.",hot_take
Voter fatigue will be pushed to its limits next season if Sga has a similar season (30+ppg + best record),hot_take
"People say that Jalen Brunson is not actually 6'2. But his scouting report says he was ""Measured 6'1 barefoot and 6'2.25 in shoes"". Are people saying that the measurement was just like... made up?",event_report
"Kings Fans, the DeArron Fox the world saw in the Finals ,was that the DFox experience or was that a new version of him? what stood out?",hot_take
Did Victor Wembanyama lose the Finals because he didn't fully shave his head?,hot_take
De'Aaron Fox should have sat out the rest of the playoffs after hurting his ankle against Minnesota,hot_take
"Former NBA Player Nick Young on Wembanyama: ""Wemby is a soft baby. He's a crying protected baby""",hot_take
Kawhi had a +14.5 on/off swing last season. Is he still a top 5 player?,hot_take
Markieff Morris Thinks OKC Still The Best Team Despite The Knicks Winning The Finals,hot_take
"With the Nova Knicks winning a chip in 2026, what other college champions could win in if they united in the NBA ?",hot_take
Is there a way to fix intentionally fouling at the end of a game while up by 3?,hot_take
Who are some Star players you'd want to get lots of minutes but would not want them at the end of a close game?,hot_take
"[Dan Woike] The Lakers remain ""on the clock"" when it comes to building a contender around Dončić…there's an actual threat that he could have a wandering eye if the Lakers can't deliver on the plans they presented last summer.",event_report
"[ESPN] Gregg Popovich once called Steve Kerr to tell him he'd finally decided to retire. Steve congratulated him on a Hall of Fame career. A week later Pop signed an extension with San Antonio. ""I realized he couldn't do it,"" Kerr said. ""He couldn't walk away...the job itself is so addictive.""",event_report
"Durant On Warriors: ""I didn't have no relationship with nobody on the Warriors… They never been a winning organization when I was in the league. Nobody liked Golden State. It felt like an underdog to me because I'm looking at the totality of the franchise, not what happened these last 5 years""",event_report
"[Charania] Atlanta Hawks guard CJ McCollum has agreed to a one-year, $21 million contract extension with the franchise, plus a trade kicker.",event_report
14 Years Ago Today - Chris Bosh Pours Champange All Over His Face After Winning Championship,event_report
"Durant On Leaving OKC: ""It was a basketball decision but I knocked down the not giving a fuck ladder with that too… I thought that was just a no brainer. I would do that shit a million times.""",event_report
8 Years Ago Today - 2X MVP Shai Gilgeous-Alexander Was Drafted By The Charlotte Hornets,event_report
"LeBron tries to fake the behind the back pass, Maurice Evans doesn't bite, but it doesn't really matter anyway",event_report
Arguably LeBron's best pass ever - an absolute bullet to Big Z for the easy basket (2006),event_report
"This prescient call by Ian Eagle before Game 1, Rd 1 tip-off",event_report
NJ father and son attacked after Knicks championship game in San Antonio,event_report
"[Charania] Free agent guard Jordan Goodwin intends to sign a three-year, $19 million deal to return to the Phoenix Suns, with a player option in the third season, sources tell ESPN.",event_report
"Charles Oakley: ""Patrick (Ewing) always been like that. He never stood up for nobody. And the coldest thing out of this all, I took a case for Patrick on an airplane. Put that out there. I took a case from him. Ask any teammate, Chris Childs, Charles, Allen, John, they might not say nothing""",event_report
"[Bill Simmons Pod] Bill: ""I don't want the Celtics to trade Jaylen Brown for Giannis""",event_report
That time JR Smith only packed a weeks worth of underwear to stay in the Bubble.,event_report
Nikola Jokic drops the first 30/20/10 in an NBA finals game against the Heat,event_report
"On the inside of Nikola Jokic's new Joker 2 GT ""G-015"" is a cartoon of Jokic from when he 'raced' a bullet train in China",event_report
"Rudy Gobert reflects on his matchup with Victor Wembanyama and gives him his flowers: ""My goal was to impact him physically. I know Victor well so I thought that over the course of a game or a series I could really wear him down over time, physically.",event_report
Og Anunoby's First Move After Winning The Nba Championship Was Handpicking Five Shelter Cats In New York City For Adoption - Three Have Already Found Homes Within Days,event_report
"AJ Dybantsa says he didn't work out for any NBA teams: ""I didn't work out for none, I just visited the cities. Take me to the facility, take me to dinner, talk. I don't gotta workout. They know what I can do.""",event_report
[Fischer] The Los Angeles Lakers have called the OKC Thunder to inquire about Lu Dort. The Thunder may pick up Dort's player option and seek to trade him in order to acquire assets.,event_report
"Paolo Banchero & Cade Cunningham's HISTORIC 45-PT Game 5 Battle | April 29, 2026",event_report
"presumptive top 4 picks (AJ Dybantsa, Darryn Peterson, Cam Boozer, Caleb Wilson) averaged a combined 88.0 points in college. That'd be the highest sum in the entire 2000s",event_report
"Kawhi Leonard: ""You see the drip…I'm always fresh if the Feds watching that's what 2 chainz said""",event_report
"Since 1989 (when all-nba third team was added), there are 5 teams in nba history that have had 3 all nba players on them that year.",event_report
"Karl Anthony Towns to Jalen Brunson: ""I want to make sure I amplify you to a whole other level that you havent even recognized for yourself. I want to be that partner in crime that you haven't had, and I want to make sure that every step of the way, anytime you go anywhere, you're never alone.""",event_report
"[Bill Simmons Pod] Doc Rivers on James Harden: ""James doesn't give everybody else enough room to be great, he is the only one that can be great on his team.""",event_report
Screen assist leaders last season: 1: Jusuf Nurkic (4.3) 2: Damantas Sabonis (4.1) 3: Rudy Gobert (4.0),event_report
"AJ Dybantsa being from the Boston area: ""This is my last year being a Celtics fan""",event_report
[Amick] The New Orleans Pelicans and Minnesota Timberwolves both have interest in trading for Memphis Grizzlies point guard Ja Morant.,event_report
"Kobe Bryant puts up an absurd 45 points on 20-26 shooting in December 2000. Kobe has the ball in clutch time in a 1 point game and the opposing announcer has a panic attack when Kobe gets the ball. ""HE'S GOING TO NEED HELP, PLEASE HELP""",event_report
"AMA: Cameron Boozer, AJ Dybantsa, Darryn Peterson, and more prospects from the 2026 NBA Draft Media Circuit joining Monday, June 22nd at 5:00 PM ET",event_report
The Big 3 Season Opener Ended In A Forfeit After Michael Beasley and Lance Stephenson Were Ejected - Leaving Miami 305 Without Enough Players,event_report
"[Charania] Free agent guard Collin Gillespie intends to sign a four-year, $48 million deal to return to the Phoenix Suns, sources tell ESPN. Gillespie spent three straight seasons on two-way contracts after going undrafted out of Villanova in 2022 and now earns a lucrative long-term deal.",event_report
"[Scotto] The LA Clippers are interested in Jaylen Brown and have future first-round draft picks and first-round picks from Indiana, including the fifth pick in the draft, as potential trade chips.",event_report
"[JR Smith] on Instagram: ""He reached out! We GOOD! God Bless the young GAWD!Greatest PG I've played with""",event_report
Anthony Davis gets two bad calls in under 15 seconds. AD goes berserk and rushes at the ref. Demarcus Cousins has to stop him from first-degree murder,event_report
"Jimmy Butler sends Giannis & the Bucks packing with a clutch 42-point game 5, 2023 playoffs rd 1",event_report
When Russell Westbrook Hit a 40 Foot Game Winner The Same Night He Broke The Triple Double Record - 50 Points 16 Rebounds 10 Assists,reaction_or_meme
"[Highlight] Maurice Evans intercepts the inbound pass by Cheikh Samb and finishes with a monster reverse poster dunk on him at the Palace, in a pre-season game. 10/23/08.",reaction_or_meme
[Lowlight] 5 years ago Ben Simmons passes up a wide open dunk.,reaction_or_meme
"Jose Alvarado on Victor Wembanyama not shaking hands with the Knicks: ""I got mixed emotions… the way he did it was a little too crazy for me because I loved how he competed during the game.""",reaction_or_meme
[Highlight] KAT and Mayor Mamdani lean back together on the Knicks' float,reaction_or_meme
NYC Mayor Mamdani's passionate speech about the Knicks journey to the championship.,reaction_or_meme
Josh Hart's wife sticks her thumb in a forbidden place during the Knicks Championship Parade,reaction_or_meme
"Rewatching Game 7 of the 2016 Finals is crazy. There is no flailing, head snapping, falling down after every shot, jumping sideways, etc. They're playing actually basketball down the stretch",reaction_or_meme
"In the first Knicks Championship parade in over 53 years, James Dolan and NYC politicians got 13 minutes of podium mic time. All Knicks players combined got 2 minutes of podium mic time, including 0 minutes for KAT, OG, and Alvarado",reaction_or_meme
"OG Anunoby was about the game-winning tip-in in Game 4: ""Is anything going through your mind when you're up in the air like that, or is it all instinct?"" OG Anunoby: ""I mean, I was trying to dunk it..."" *Everyone starts laughing*",reaction_or_meme
"Jalen Brunson (jokingly): ""I'm not a fan of Luka. He's actually, he's one one of the worst teammates I've ever had."" Kid Reporter: ""That's crazy. He doesn't play defense."" Jalen Brunson: ""Oh, wow. He plays a little defense. He tries.",reaction_or_meme
"[Highlight] The Stop. Ten years ago today, Kevin Love played the defense of his life on Stephen Curry.",reaction_or_meme
"A Knicks fan passed out at the parade, a woman saved his life, and he somehow found a way to say thank you while still passing out.",reaction_or_meme
[Highlight] OG Anunoby tips the ball in to give the Knicks the lead,reaction_or_meme
[Highlight] Arena erupts in boos as The President is shown on the jumbotron,reaction_or_meme
[Highlight] Victor Wembanyama overcome with emotion as Spurs eliminate Thunder to advance to the Finals,reaction_or_meme
[Highlight] Luke Kornet races back for the big chasedown block for San Antonio.,reaction_or_meme
"[Highlight] ""Thank you, mama. I appreciate you getting me one."" - Karl-Anthony Towns",reaction_or_meme
"[Highlight] Karl-Anthony Towns: ""I just felt a calm and a peace that had to come from the woman above ... I felt like I was a kid getting ready to go play my Saturday AAU games and Sunday AAU games. In a way, I felt like I was seeing [my mom] in the stands.""",reaction_or_meme
"[Highlight] In order to keep the Knicks' players desperate in every game no matter the score, Mike Brown had his staff create a video before Game 1 of the ECF showing the players' faces after being eliminated by Indiana last season. The message: ""How did you feel in that moment?""",reaction_or_meme
[Highlight] Mitch Johnson picks up a tech after official fails to recognize his challenge,reaction_or_meme
Jalen Brunson walks past Knicks coaches without a second thought to shake Mitch Johnson's hand after the final buzzer,reaction_or_meme
"[Highlight] Mitch Johnson asks for a coach's challenge right in front of the referee James Capers, but he doesn't call it. Instead, he receives a technical foul. The Spurs would have won the challenge, as the refs gave the ball to the Thunder after it went out of bounds off Chet Holmgren.",reaction_or_meme
"[Highlight] Jared McCain appears to make elbow contact with Harper's throat area, then backs it up on him and falls to the floor. Foul on Harper",reaction_or_meme
[All-Access] Victor Wembanyama reacts as the final buzzer sounds in Game 7 of the Western Conference Finals.,reaction_or_meme
"[SNY] Josh Hart on the ticket prices for Game 3 of the NBA Finals at MSG: ""I wish the ticket prices weren't as crazy as they are. A lot of people who have been waiting for this moment for a very long time unfortunately aren't able to get into the building. $7K, $8K is ridiculous.""",reaction_or_meme
"[Highlight] MSG show clips of Jeremy Lin highlights, and then the camera focuses on Lin, who waves and receives love from the local crowd.",reaction_or_meme
"Victor Wenbanyama about the events in Minnesota: Spurs PR has tried to train me, but I don't want to be politically correct. It's crazy that people make it seem like the murder of innocent civilians is acceptable",reaction_or_meme
[Highlight] Draymond tries to get in Wemby's head and Wemby responds by THUNDERING a dunk over him + the foul (Full Sequence + Replay),reaction_or_meme
"[Highlights] Bronny James hits the 3-pointer off his dad's screen, and then the reverse layup off his dad's lob",reaction_or_meme
[Highlight] LeBron gets the steal and hits a 3 to tie the game!,reaction_or_meme
[Highlight] LeBron complaining about the game to a kid during last nights game,reaction_or_meme
[Highlight] Victor Wembenyama receives a Flagrant 2 and is ejected from the game after elbowing Naz Reid,reaction_or_meme
"Interviewer: ""Jaxson Hayes got Slovenian citizenship, what is your view about that. You probably care about those things."" Luka: ""Yes... I basically had nothing to do with that, so, I'm only playing for national team. But yes, boy is really okay. Good player, so it's amazing.""",event_report
The Lakers have been linked to Thunder guard Lu Dort as a potential trade target to pair with Luka Doncic,event_report
if you could be any nba player ever who would you be,event_report
"[Fischer] I've also heard that Atlanta sees great value in Swain at No. 23, but the Hawks have been signaling for some time that they are prepared (and perhaps even prefer) to trade their second pick in the first round after No. 8 for future draft capital.",event_report
2009 Western Conference Semi-Finals. Series tied 1-1 going into a pivotal game 3. Ron Artest is trying to get into Kobe's head. Kobe hits a ridiculous shot at the end of the 3rd quarter to silence Artest. Lakers win the series in 7 and end up winning a ring,event_report
Lu Dort has played 432 regular-season games. He has only 2 games with 6+ assists.,event_report
[Fischer] The Dallas Mavericks are showing interest in moving back in the draft with both the New Orleans Pelicans and Memphis Grizzlies have a known desire to acquire a top-10 pick.,event_report
"[Scotto] With the Denver Nuggets currently projected to be near the second apron, they've signaled a willingness to discuss forward Zeke Nnaji and the No. 26 pick as a trade package",event_report
[Scotto] The Utah Jazz has expressed interest in re-signing center Jusuf Nurkic,event_report
[Scotto] Toronto Raptors swingman RJ Barrett has drawn trade interest in multi-team conversations,event_report
"Made a daily NBA history game. You get 5 iconic moments and try to guess the year each one happened. The closer you are, the more points you score. New puzzle every day. You can create a group to compare scores with friends. The timeline feels better with the sound on. Would love feedback on the difficulty and overall feel.",event_report
it's clean and dope. you could link to highlights or articles of the event at the results page,reaction_or_meme
"Ranked the 5 prospects most likely to bust in the 2026 NBA Draft (Boozer at #1, plus Peterson, Quaintance, Peat, and Wagler). Tried to focus on red flags vs. hype.",hot_take
"I built a ranked 1v1 82-0. I loved 82-0 but wanted to actually play it against people, so I built live 1v1 ranked matches. You and an opponent draft off different spins on a 30-second clock, and your rosters sim head-to-head in a best-of-7, and your ELO moves win or lose.",event_report
Plugging this small channel because I looked forward to every segment and it needs more visibility. It's really good content.,reaction_or_meme
I made an edit of Game 7 of the 2016 NBA Finals.,reaction_or_meme
"Built a quick quiz to show you who your NBA goat and top 15 players based off your values and tradeoffs. Comparison analytics charts as well to compare what you value against how each top 15 player lines up. Myself I got Magic, Lebron, Jokic as my top 3.",event_report
I vibe-coded a front end app and backend model for simulating games between arbitrarily formed cross-era rosters or all sorts of other targeted season/team/player combinations. Any and all feedback welcome.,event_report
meta world peace as the top scorer with 40. ben simmons zero threes. kudos to the model,reaction_or_meme
"I built a free NBA stats/history site focused on visualization rather than giant tables. Everything is displayed through interactive charts and dashboards, from season stats and advanced metrics to percentiles, career ratings, awards, championships, and team stints. The goal is to add context to the numbers.",event_report
"Best To Worst Clutch FG% In The 2025-26 NBA Playoffs (Min. 10 FGA): OG Anunoby 54.5%, Victor Wembanyama 52.2%, Cade Cunningham 50.0%, Dylan Harper 50.0%, Shai Gilgeous-Alexander 50.0%, Evan Mobley 45.5%, Jalen Brunson 42.4%, LeBron James 35.7%, James Harden 35.3%, Devin Vassell 30.8%, Donovan Mitchell 21.7%, De'Aaron Fox 20.0%, Tobias Harris 20.0%.",analysis
I mean throwing the ball at Castle's back or bricking free throws isn't going to show up here.,hot_take
"Bro missed 3 critical free throws, missed a game winner, and had a bad pass turnover to close out multiple finals games losses.",hot_take
"Nothing exposes nerves of steel faster than the last few minutes of a playoff game. Some players want the shot, others want the clock to disappear.",hot_take
"Doesnt mean much without factoring in shot hardness. Looking at xFG% in the playoffs gives a better idea of who the best shooters were. Not sure how to filter by clutch, but it's mostly noise and low sample sizes anyway. A FG in the clutch when 3-0 up in R1 is a lot less clutch than a FG at the beginning of game 7 of the finals.",analysis
"Brunson is 7th and yet there's no one I'd rather have the ball in clutch time than him. Love OG, but his opportunities are based mainly off the advantage Brunson creates.",analysis
43% when an entire defense is designed to stop you because they all know you're shooting it is pretty freaking good lol,analysis
Fox in the same tier as Tobias Harris. Veteran players who scammed their teams into giving them more money than they deserve,hot_take
if you could be any nba player ever who would you be? i would probably choose to be rudy gay just because i be loving my homies. what about you? who would you pick,reaction_or_meme
Ben Simmons. Get generational wealth and become a pro fisherman. Sounds like two skills I want.,reaction_or_meme
"At first I was like this dude sucks. But then I thought about it and went, this dude has it figured out lol",reaction_or_meme
"Lebron lol. Besides Steph in 2016, prime LeBron was absurd. Basically a 2k my player/create a player dream. I already miss him and he's still in the league but he's old. A 6'8 athletic specimen who does not have durability issues and has no weaknesses on offense or defense. 2018 was the most fun I had watching a playoff run for a single player in a long long time. Even though I already like watching Wemby and giannis was cool too, you can tell they are just too big and have durability issues. They also can't handle the ball close to the way prime LeBron could.",analysis
"Hmm. I'm surprised by the lack of Ben Simmons considering 99% of you would never pick up a ball in real life. So yeah, give me Ben Simmons living life in his 20s after a highway robbery.",hot_take
"Garrett Temple. Respectable 16-year career. Hasn't made crazy money but enough to be comfortable. He will have future job opportunities in the league if he wants them, and he can go to grocery stores and coffee shops without being recognized.",analysis
"DeAaron Fox, max contract and I only have to be the fourth best player on my team.",hot_take
Tobias Harris. Get paid like a star player and let other people take the heat for me being bad.,hot_take
Rasheed Wallace seems like a fun one. Pistons Sheed if we gotta specify.,reaction_or_meme
"Lmao tf is this post. Anyways, I'd probably go Jrue Holiday if I cared about my rep. If not, then Giannis.",reaction_or_meme
"I'd want to be de'aaron fox so that I could tell the spurs to bench me. then, I'd spend the majority of my time mentoring the young guards. at the trade deadline, I demand a trade to the rockets",reaction_or_meme
I'd have to say Shaq because I've always been curious what a motivated Shaq would do to the league,hot_take
Dennis Rodman - NBA hall of famer. Prime Carmen Electra. Tag teamed with Hulk Hogan. WWE hall of famer. Friends with NK supreme leader Kim Jong Un,reaction_or_meme
"I saw someone else say this and I think it makes sense. Kyle Lowry, I'm a legend in Toronto, but fairly low-key in the rest of the world",analysis
"How each NBA team assembled their current rosters Visualized. A few months ago I found out that the Timberwolves were able to acquire the draft rights to Jaden McDaniels in part because of the 2007 trade of Kevin Garnett to the Celtics. It made me wonder, could you visualize how an NBA team assembled their entire roster just by charting out draft picks, trades, and free agency signings? This question started a months long journey of compiling the information and then making family tree style visualizations for each team.",analysis
"The Thunder tree has the oldest draft pick still providing a team value. In 1977, the Supersonics drafted Jack Sikma, whose trade tree started in 1986 when he was traded to the Bucks. That trade started a tree that eventually resulted in the Thunder getting Jared McCain earlier this year.",analysis
The Celtics tree is crazy for the amount of trades. It's pretty well known that they received the pick for Jaylen Brown in the trade that sent KG and Paul Pierce to the Nets. But less known is that every player on their roster not signed in free agency or drafted with their own picks is on the Celtics partially as a result of that trade.,analysis
"The Suns have a lot of trades that really didn't go their way recently and the fact that the only player on their roster there after the Beal trade being Royce O'Neale is not a fun fact. However, the KD trade is very cool to see with 5 teams involved.",analysis
"Definitely not the most a team has gotten from trading Paul George but Haliburton, Siakam, Huff, Zubac, Kobe Brown, Nembahrd, Sheppard, and Furphy is still a pretty good return all things considered.",analysis
Thanks! I'm very glad I could get it out before the draft. Gotta thank Giannis for holding up all the trades long enough for me to get it presentable.,reaction_or_meme
My biggest takeaway is unfortunately Imgur sucks now. It was like 70% ads,reaction_or_meme
"Furthest Draft pick is Jack Sikma, the 1977 Supersonics 1st round pick, however, he wasn't traded until July 1, 1986. The Cavaliers have them beat by a few weeks with a June 17, 1986 trade of a future 2nd for a guy by the name of Mark Price. Pretty good value.",analysis
"I started with the current rosters and then used various resources like Basketball Reference, ProSportsTrades, RealGM, and random searches for some more obscure trades to check and double check how each player got to each team.",analysis
Peak offseason content and we're not even two weeks in. Won't be topped.,reaction_or_meme
"On the Mavs chart, in the Spurs/Celtics/Mavs deal, the 2027 Raptors 2nd becomes a 2025 2nd right after. Don't know if this is a mistake or just pick conditions conveying but thought I'd mention it in case it's an error.",analysis
Why didn't the Wizards get broken out by GM? Our new GM in June of 2023 was a huge turning point for the franchise.,analysis
"The Presti tree is wild when you map it out. The Sikma pick from 77 still generating value almost 50 years later is crazy. Would love to see the Heat tree too, Riley always found ways to create value through picks.",analysis
"As someone who has done graphic design for a living, this looks like it took a long time. Kudos to you.",reaction_or_meme
[ESPN] Gregg Popovich once called Steve Kerr to tell him he'd finally decided to retire. Steve congratulated him on a Hall of Fame career. A week later Pop signed an extension with San Antonio. Kerr said he realized Pop couldn't walk away because the job itself is so addictive.,event_report
I do think Pop would have walked away sooner if his wife hadn't passed away. After that he just stuck with it until he literally couldn't.,analysis
"Yeah his wife was everything he had outside of basketball. Now that she's gone, he's passing time doing what he loves",analysis
Pop takes one look at rookie Scoot and retires on the spot,reaction_or_meme
Gilbert Arenas said he didn't have a problem retiring until the next season started and everyone else was getting ready and he had nothing to do. He said that screwed with his head to the point that he would get in his car and drive into the city and then back for no reason each day. Wilt Chamberlain said he would do the same thing.,analysis
When you're used to a routine and playing games in front of thousands cheering for you I bet it's hard when you go from that to just zero competing. With that being said there's way worse things than being a millionaire with a lot of free time.,analysis
"Retirement boredom, even in non-athletes, is one of the common topics discussed in financial independence spaces. Books like Die with Zero are often suggested so people can live a meaningful and least regretful life.",analysis
"For anyone curious, Pop's last contract extension was July 2023, so it would have been around the time they drafted Wemby.",event_report
"I remember hearing that he wanted to retire around that time, but that the idea of coaching a 7'4 generational talent was too enticing of an opportunity to pass up.",hot_take
Pop hit Kerr with the NBA version of 'you up?' a week later,reaction_or_meme
"I think you don't get to the level of guys like Pop and Jordan by being reasonable about things. Without some sort of addiction or obsession with the game and winning, countless hours of film study or thousands of workouts would get incredibly tedious. Makes sense that guys like this just can't turn it off when it's time to hang it up.",analysis
"I do wonder what the NBA Finals would have looked like if Pop was on the bench. The Spurs are not in the Finals without Wemby, but I think Pop would have told Wemby to stop dancing on the perimeter and get to the paint.",hot_take
"While I do agree the Knicks would likely still win the series, it would have been 2-2 going back to San Antonio with Spurs having home court advantage again. You never know how it would have affected the following games.",analysis
"An article from over a month ago randomly getting aggregated. An incredibly written article by the way, one of the best I've ever read. Most people will not read it because of its length but if you have any attention span left it is fantastic and the experience of reading it cannot be aggregated.",analysis
"Kerr excelled in almost every aspect of basketball he's participated in: playing, coaching, front office, color commentator.",analysis
